pais_id,año,basura_id,cantidad
ax,2023,b9,77
ag,2023,b9,0
ar,2023,b9,170
au,2023,b9,747
at,2023,b9,0
bs,2023,b9,354
bd,2023,b9,7
bb,2023,b9,393
be,2023,b9,0
bz,2023,b9,451
Bermuda,2023,b9,5
Bonaire,2023,b9,1
bw,2023,b9,0
br,2023,b9,3
vg,2023,b9,13
bn,2023,b9,638
kh,2023,b9,54
cm,2023,b9,0
ca,2023,b9,84
ky,2023,b9,34
cl,2023,b9,51
cn,2023,b9,1
co,2023,b9,438
cr,2023,b9,43
hr,2023,b9,0
cu,2023,b9,0
cy,2023,b9,999
cz,2023,b9,18
dk,2023,b9,16
do,2023,b9,68
ec,2023,b9,10
eg,2023,b9,1
fj,2023,b9,0
fi,2023,b9,24
fr,2023,b9,22
pf,2023,b9,0
gm,2023,b9,0
de,2023,b9,118
gh,2023,b9,7
gr,2023,b9,26
gd,2023,b9,1
Guam,2023,b9,1
gt,2023,b9,0
gy,2023,b9,268
hn,2023,b9,3
hk,2023,b9,633
hu,2023,b9,0
in,2023,b9,105
id,2023,b9,10
ie,2023,b9,4
il,2023,b9,0
it,2023,b9,8
jm,2023,b9,8
jp,2023,b9,8
jo,2023,b9,0
ke,2023,b9,282
ki,2023,b9,0
kw,2023,b9,0
lv,2023,b9,6
lt,2023,b9,163
mw,2023,b9,0
my,2023,b9,53
Maldives,2023,b9,0
Malta,2023,b9,501
mx,2023,b9,12
me,2023,b9,0
ma,2023,b9,325
mz,2023,b9,131
Myanmar (Burma),2023,b9,0
np,2023,b9,0
nl,2023,b9,52
nz,2023,b9,1
ni,2023,b9,1
ng,2023,b9,563
Northern Mariana,2023,b9,1
Islands,2023,b9,0
no,2023,b9,10
pk,2023,b9,3
pa,2023,b9,51
pe,2023,b9,4
ph,2023,b9,78
pl,2023,b9,9
pt,2023,b9,8
pr,2023,b9,37
Saba,2023,b9,0
ws,2023,b9,0
sa,2023,b9,60
sc,2023,b9,577
sl,2023,b9,0
sg,2023,b9,1
Sint Eustatius,2023,b9,15
Sint Maarten,2023,b9,105
si,2023,b9,9
sb,2023,b9,4
za,2023,b9,1
kr,2023,b9,7
es,2023,b9,109
lk,2023,b9,1
St Kitts & Nevis,2023,b9,7
St Lucia,2023,b9,30
St Vincent and the Grenadines,2023,b9,0
se,2023,b9,0
ch,2023,b9,2
tw,2023,b9,9
tz,2023,b9,272
th,2023,b9,715
Tonga,2023,b9,2
tt,2023,b9,3
tr,2023,b9,39
U.S. Virgin Islands,2023,b9,1
ug,2023,b9,54
ae,2023,b9,2
gb,2023,b9,11
us,2023,b9,385
uy,2023,b9,0
vu,2023,b9,40
ve,2023,b9,26
vn,2023,b9,384
Wallis and Futuna,2023,b9,10
ax,2022,b9,0
ao,2022,b9,1
ag,2022,b9,15
au,2022,b9,4
bs,2022,b9,406
bd,2022,b9,17
bb,2022,b9,433
bz,2022,b9,931
Bermuda,2022,b9,2
Bonaire,2022,b9,1
br,2022,b9,702
vg,2022,b9,10
bn,2022,b9,136
cm,2022,b9,3
ca,2022,b9,280
ky,2022,b9,0
cl,2022,b9,40
cn,2022,b9,4
co,2022,b9,518
cr,2022,b9,41
hr,2022,b9,1
Curaçao,2022,b9,0
cy,2022,b9,239
do,2022,b9,80
ec,2022,b9,11
eg,2022,b9,15
fi,2022,b9,27
fr,2022,b9,7
gm,2022,b9,4
de,2022,b9,917
gh,2022,b9,56
gr,2022,b9,50
Guam,2022,b9,2
Guernsey,2022,b9,24
hk,2022,b9,2
is,2022,b9,33
in,2022,b9,30
id,2022,b9,25
ie,2022,b9,4
il,2022,b9,78
it,2022,b9,965
jm,2022,b9,3
jp,2022,b9,6
ke,2022,b9,58
kw,2022,b9,0
my,2022,b9,62
