País;Año;Voluntarios;Kilogramos;Kilómetros;Elementos recogidos;b9;b3;b10;b11;b12;b13;b14;b15;b1;b2;b16;b17
Åland Islands;2023;60;54,0;1,0;432;77;—;—;—;—;—;—;;;;—;
Antigua and Barbuda;2023;12;152,0;1,5;496;;58;;3;6;14;9;;;;13;47
Argentina;2023;327;34.380,0;2,6;559;170;68;33;32;24;12;2;;;;;0
Australia;2023;1.672;3.753,0;195,5;20.474;747;112;629;571;52;53;98;;;;89;76
Austria;2023;2;0,5;0,2;—;—;—;—;—;—;—;—;;;;—;
Bahamas;2023;1.006;4.949,0;31,4;21.732;354;1.925;1.426;660;412;597;535;;;;407;1.526
Bangladesh;2023;297;9.321,0;31,5;75.831;7.690;89;214;2.489;1.543;1.325;3.235;;;;1.435;861
Barbados;2023;523;1.849,0;7,3;30.772;393;3.256;4.836;1.838;319;773;493;;;;450;1.594
Belgium;2023;5;0,5;0,2;7;;2;;;4;1;;;;;;0
Belize;2023;1.540;2.840,0;37,6;73.295;451;4.992;7.106;2.166;3.068;1.717;1.004;;;;969;1.583
Bermuda;2023;1.104;12.472,0;35,0;65.402;5.330;2.738;4.513;1.589;622;1.228;314;;;;497;1.194
Bonaire;2023;8;5,0;0,2;2.337;1.421;1;6;;28;;20;;;;;10
Botswana;2023;80;1.565,0;3,2;—;—;—;—;—;—;—;—;;;;—;
Brazil;2023;1.287;3.360,0;45,5;20.613;3.655;1.418;1.470;2.269;1.049;1.241;1.289;;;;248;881
British Virgin Islands;2023;163;1.761,0;10,0;2.056;13;618;35;31;28;73;50;;;;35;167
Brunei;2023;751;1.889,0;39,5;8.303;638;3.490;542;424;233;188;125;;;;284;186
Cambodia;2023;130;862,0;0,9;8.238;54;2.144;514;472;718;94;504;;;;146;522
Cameroon;2023;137;3.234,0;97,5;39.273;;13.364;;;;;;;;;;389
Canada;2023;3.094;25.694,0;550,7;246.923;84.855;5.500;13.553;17.131;2.562;2.694;3.641;;;;2.760;2.648
Cayman Islands;2023;18;155,0;0,2;473;34;14;59;22;5;58;19;;;;4;14
Chile;2023;10.506;106.694,0;131,2;152.875;51.759;5.773;6.287;10.890;3.821;3.704;1.953;;;;2.900;4.053
China;2023;4.455;19.645,0;1.205,3;15.773;1.678;1.508;568;933;130;721;103;;;;409;466
Colombia;2023;1.637;50.824,0;32,5;191.782;438;149.396;1.455;987;12.040;678;69;;;;786;7.480
Costa Rica;2023;36;445,0;3,3;4.264;43;141;273;506;19;97;65;;;;2;51
Croatia;2023;4;0,5;0,2;—;—;—;—;—;—;—;—;;;;—;
Cuba;2023;360;1.792,0;0,2;—;—;—;—;—;—;—;—;;;;—;
Cyprus;2023;2.546;11.579,0;20,6;1.783;999;46;109;60;10;1;24;;;;3;9
Czechia;2023;5;2,0;8,9;79;18;6;;2;8;6;1;;;;1;2
Denmark;2023;9;17,0;6,6;146;16;2;2;23;2;5;2;;;;;7
Dominican Republic;2023;23.625;174.246,0;53,6;2.448.362;68.377;256.041;170.695;44.815;42.924;67.557;134.017;;;;298.109;319.452
Ecuador;2023;7.202;47.906,0;422,9;268.501;10.471;27.897;19.784;19.325;12.919;19.201;5.020;;;;10.997;22.399
Egypt;2023;501;2.100,0;9,3;14;1;;1;;5;;;;;;;1
