pais_id,año,basura_id,cantidad
ar,2023,b1,170
ar,2023,b2,68
ar,2023,b3,33
ar,2023,b4,32
ar,2023,b5,24
ar,2023,b6,12
ar,2023,b7,2
au,2023,b1,747
au,2023,b2,112
au,2023,b3,629
au,2023,b4,571
au,2023,b5,52
au,2023,b6,53
au,2023,b7,98
au,2023,b8,89
au,2023,b9,47
au,2023,b10,29
bd,2023,b1,7690
bd,2023,b2,89
bd,2023,b3,214
bd,2023,b4,2489
bd,2023,b5,1543
bd,2023,b6,1325
bd,2023,b7,3235
bd,2023,b8,1435
bd,2023,b9,93
bd,2023,b10,768
be,2023,b2,2
be,2023,b5,4
be,2023,b6,1
bz,2023,b1,451
bz,2023,b2,4992
bz,2023,b3,7106
bz,2023,b4,2166
bz,2023,b5,3068
bz,2023,b6,1717
bz,2023,b7,1004
bz,2023,b8,969
bz,2023,b9,693
bz,2023,b10,890
br,2023,b1,3655
br,2023,b2,1418
br,2023,b3,1470
br,2023,b4,2269
br,2023,b5,1049
br,2023,b6,1241
br,2023,b7,1289
br,2023,b8,248
br,2023,b9,265
br,2023,b10,616
bn,2023,b1,638
bn,2023,b2,3490
bn,2023,b3,542
bn,2023,b4,424
bn,2023,b5,233
bn,2023,b6,188
bn,2023,b7,125
bn,2023,b8,284
bn,2023,b9,65
bn,2023,b10,121
kh,2023,b1,54
kh,2023,b2,2144
kh,2023,b3,514
kh,2023,b4,472
kh,2023,b5,718
kh,2023,b6,94
kh,2023,b7,504
kh,2023,b8,146
kh,2023,b9,5
kh,2023,b10,517
cm,2023,b2,13364
cm,2023,b10,389
ca,2023,b1,84855
ca,2023,b2,5500
ca,2023,b3,13553
ca,2023,b4,17131
ca,2023,b5,2562
ca,2023,b6,2694
ca,2023,b7,3641
ca,2023,b8,2760
ca,2023,b9,181
ca,2023,b10,2467
cl,2023,b1,51759
cl,2023,b2,5773
cl,2023,b3,6287
cl,2023,b4,10890
cl,2023,b5,3821
cl,2023,b6,3704
cl,2023,b7,1953
cl,2023,b8,2900
cl,2023,b9,1719
cl,2023,b10,2334
cn,2023,b1,1678
cn,2023,b2,1508
cn,2023,b3,568
cn,2023,b4,933
cn,2023,b5,130
cn,2023,b6,721
cn,2023,b7,103
cn,2023,b8,409
cn,2023,b9,92
cn,2023,b10,374
co,2023,b1,438
co,2023,b2,149396
co,2023,b3,1455
co,2023,b4,987
co,2023,b5,12040
co,2023,b6,678
co,2023,b7,69
co,2023,b8,786
co,2023,b9,370
co,2023,b10,7110
cr,2023,b1,43
cr,2023,b2,141
cr,2023,b3,273
cr,2023,b4,506
cr,2023,b5,19
cr,2023,b6,97
cr,2023,b7,65
cr,2023,b8,2
cr,2023,b9,2
cr,2023,b10,49
cy,2023,b1,999
cy,2023,b2,46
cy,2023,b3,109
cy,2023,b4,60
cy,2023,b5,10
cy,2023,b6,1
cy,2023,b7,24
cy,2023,b8,3
cy,2023,b10,9
cz,2023,b1,18
cz,2023,b2,6
cz,2023,b4,2
cz,2023,b5,8
cz,2023,b6,6
cz,2023,b7,1
cz,2023,b8,1
cz,2023,b10,2
dk,2023,b1,16
dk,2023,b2,2
dk,2023,b3,2
dk,2023,b4,23
dk,2023,b5,2
dk,2023,b6,5
dk,2023,b7,2
dk,2023,b9,1
dk,2023,b10,6
do,2023,b1,68377
do,2023,b2,256041
do,2023,b3,170695
do,2023,b4,44815
do,2023,b5,42924
do,2023,b6,67557
do,2023,b7,134017
