pais_id,año,basura_id,cantidad
ae,2020,b9,151.0
ae,2020,b3,822.0
ae,2020,b10,798.0
ae,2020,b11,127.0
ae,2020,b12,126.0
ae,2020,b13,0.0
ae,2020,b14,38.0
ae,2020,b15,55.0
ae,2020,b1,254.0
ae,2020,b2,220.0
ae,2020,b16,101.0
ae,2020,b17,0.0
ae,2021,b9,3203.0
ae,2021,b3,3107.0
ae,2021,b10,1589.0
ae,2021,b11,800.0
ae,2021,b12,545.0
ae,2021,b13,0.0
ae,2021,b14,201.0
ae,2021,b15,390.0
ae,2021,b1,746.0
ae,2021,b2,647.0
ae,2021,b16,0.0
ae,2021,b17,650.0
ae,2022,b9,38913.0
ae,2022,b3,2942.0
ae,2022,b10,1035.0
ae,2022,b11,291.0
ae,2022,b12,738.0
ae,2022,b13,482.0
ae,2022,b14,139.0
ae,2022,b15,0.0
ae,2022,b1,0.0
ae,2022,b2,0.0
ae,2022,b16,509.0
ae,2022,b17,230.0
ae,2023,b9,2489.0
ae,2023,b3,2894.0
ae,2023,b10,993.0
ae,2023,b11,871.0
ae,2023,b12,669.0
ae,2023,b13,645.0
ae,2023,b14,287.0
ae,2023,b15,0.0
ae,2023,b1,0.0
ae,2023,b2,0.0
ae,2023,b16,200.0
ae,2023,b17,962.0
ag,2020,b9,63.0
ag,2020,b3,1241.0
ag,2020,b10,548.0
ag,2020,b11,370.0
ag,2020,b12,191.0
ag,2020,b13,0.0
ag,2020,b14,167.0
ag,2020,b15,392.0
ag,2020,b1,682.0
ag,2020,b2,329.0
ag,2020,b16,102.0
ag,2020,b17,0.0
ag,2021,b9,9.0
ag,2021,b3,152.0
ag,2021,b10,34.0
ag,2021,b11,74.0
ag,2021,b12,48.0
ag,2021,b13,0.0
ag,2021,b14,19.0
ag,2021,b15,105.0
ag,2021,b1,285.0
ag,2021,b2,165.0
ag,2021,b16,0.0
ag,2021,b17,140.0
ag,2022,b9,15.0
ag,2022,b3,341.0
ag,2022,b10,33.0
ag,2022,b11,44.0
ag,2022,b12,16.0
ag,2022,b13,18.0
ag,2022,b14,18.0
ag,2022,b15,0.0
ag,2022,b1,0.0
ag,2022,b2,0.0
ag,2022,b16,35.0
ag,2022,b17,36.0
ag,2023,b9,0.0
ag,2023,b3,58.0
ag,2023,b10,0.0
ag,2023,b11,3.0
ag,2023,b12,6.0
ag,2023,b13,14.0
ag,2023,b14,9.0
ag,2023,b15,0.0
ag,2023,b1,0.0
ag,2023,b2,0.0
ag,2023,b16,13.0
ag,2023,b17,47.0
ao,2022,b9,1.0
ao,2022,b3,3.0
ao,2022,b10,2.0
ao,2022,b11,0.0
ao,2022,b12,4.0
ao,2022,b13,1.0
ao,2022,b14,0.0
ao,2022,b15,0.0
ao,2022,b1,0.0
ao,2022,b2,0.0
ao,2022,b16,1.0
ao,2022,b17,0.0
ar,2020,b9,0.0
ar,2020,b3,0.0
ar,2020,b10,0.0
ar,2020,b11,0.0
ar,2020,b12,0.0
ar,2020,b13,0.0
ar,2020,b14,0.0
ar,2020,b15,0.0
ar,2020,b1,0.0
ar,2020,b2,0.0
ar,2020,b16,0.0
ar,2020,b17,0.0
ar,2021,b9,0.0
ar,2021,b3,1.0
ar,2021,b10,93.0
ar,2021,b11,3.0
ar,2021,b12,4.0
ar,2021,b13,0.0
ar,2021,b14,0.0
ar,2021,b15,0.0
ar,2021,b1,0.0
ar,2021,b2,0.0
ar,2021,b16,0.0
ar,2021,b17,0.0
ar,2023,b9,170.0
ar,2023,b3,68.0
ar,2023,b10,33.0
ar,2023,b11,32.0
ar,2023,b12,24.0
ar,2023,b13,12.0
ar,2023,b14,2.0
ar,2023,b15,0.0
ar,2023,b1,0.0
ar,2023,b2,0.0
ar,2023,b16,0.0
ar,2023,b17,0.0
as,2021,b9,547.0
as,2021,b3,522.0
as,2021,b10,493.0
as,2021,b11,259.0
as,2021,b12,216.0
as,2021,b13,0.0
as,2021,b14,78.0
as,2021,b15,50.0
as,2021,b1,296.0
as,2021,b2,622.0
as,2021,b16,0.0
as,2021,b17,197.0
at,2020,b9,0.0
at,2020,b3,0.0
at,2020,b10,0.0
at,2020,b11,0.0
at,2020,b12,0.0
at,2020,b13,0.0
at,2020,b14,0.0
at,2020,b15,0.0
at,2020,b1,0.0
at,2020,b2,0.0
at,2020,b16,0.0
at,2020,b17,0.0
at,2023,b9,0.0
at,2023,b3,0.0
at,2023,b10,0.0
at,2023,b11,0.0
at,2023,b12,0.0
at,2023,b13,0.0
at,2023,b14,0.0
at,2023,b15,0.0
at,2023,b1,0.0
at,2023,b2,0.0
at,2023,b16,0.0
at,2023,b17,0.0
au,2020,b9,5555.0
au,2020,b3,1608.0
au,2020,b10,20.0
au,2020,b11,8826.0
au,2020,b12,465.0
au,2020,b13,0.0
au,2020,b14,1912.0
au,2020,b15,208.0
au,2020,b1,1432.0
au,2020,b2,1836.0
au,2020,b16,48.0
au,2020,b17,0.0
au,2021,b9,4509.0
au,2021,b3,1143.0
au,2021,b10,33.0
au,2021,b11,4654.0
au,2021,b12,483.0
au,2021,b13,0.0
au,2021,b14,1564.0
au,2021,b15,107.0
au,2021,b1,835.0
au,2021,b2,859.0
au,2021,b16,0.0
au,2021,b17,18.0
au,2022,b9,4833.0
au,2022,b3,1134.0
au,2022,b10,1462.0
au,2022,b11,4841.0
au,2022,b12,408.0
au,2022,b13,416.0
au,2022,b14,866.0
au,2022,b15,0.0
au,2022,b1,0.0
au,2022,b2,0.0
au,2022,b16,21.0
au,2022,b17,12.0
au,2023,b9,747.0
au,2023,b3,112.0
au,2023,b10,629.0
au,2023,b11,571.0
au,2023,b12,52.0
au,2023,b13,53.0
au,2023,b14,98.0
au,2023,b15,0.0
au,2023,b1,0.0
au,2023,b2,0.0
au,2023,b16,89.0
au,2023,b17,76.0
aw,2020,b9,0.0
aw,2020,b3,0.0
aw,2020,b10,0.0
aw,2020,b11,0.0
aw,2020,b12,0.0
aw,2020,b13,0.0
aw,2020,b14,0.0
aw,2020,b15,0.0
aw,2020,b1,0.0
aw,2020,b2,0.0
aw,2020,b16,0.0
aw,2020,b17,0.0
aw,2021,b9,0.0
aw,2021,b3,0.0
aw,2021,b10,0.0
aw,2021,b11,0.0
aw,2021,b12,0.0
aw,2021,b13,0.0
aw,2021,b14,0.0
aw,2021,b15,0.0
aw,2021,b1,0.0
aw,2021,b2,0.0
aw,2021,b16,0.0
aw,2021,b17,0.0
ax,2020,b9,0.0
