pais_id,año,Voluntarios,Kilogramos,kilometros,Elementos recogidos
ar,2023,327,34380,2,
au,2023,1672,3753,195,
at,2023,2,0,,
bd,2023,297,9321,31,
be,2023,5,0,,
bz,2023,1540,2840,37,
bw,2023,80,1565,3,
br,2023,1287,3360,45,
bn,2023,751,1889,39,
kh,2023,130,862,0,
cm,2023,137,3234,97,
ca,2023,3094,25694,550,
cl,2023,10506,106694,131,
cn,2023,4455,19645,1205,
co,2023,1637,50824,32,
cr,2023,36,445,3,
hr,2023,4,0,,
cu,2023,360,1792,0,
cy,2023,2546,11579,20,
cz,2023,5,2,8,
dk,2023,9,17,6,
do,2023,23625,174246,53,
ec,2023,7202,47906,422,
eg,2023,501,2100,9,
fj,2023,220,431,0,
fi,2023,433,469,6,
fr,2023,104,1319,5,2394
gm,2023,51,454,1,
de,2023,1786,2103,27,
gh,2023,541,45561,1,
gr,2023,9115,17000,48,113357
gt,2023,150,906,6,
gy,2023,111,336,0,
hn,2023,218,967,3,
hu,2023,1,0,,
in,2023,293,2544,22,
id,2023,2374,12598,73,
ie,2023,1215,2613,165,
il,2023,113,489,2,2734
it,2023,580,3183,8,
jm,2023,7090,43048,151,
jp,2023,3651,12475,187,113440
jo,2023,2,0,,
ke,2023,3613,17709,82,
kw,2023,1,0,,
lv,2023,5,14,2,
lt,2023,84,35,1,
mw,2023,259,590,0,
my,2023,14394,48346,1540,
mx,2023,5108,45753,424,
me,2023,59,60,0,
ma,2023,873,12440,9,
mz,2023,569,107809,31,
np,2023,1,0,,
nl,2023,78,637,21,
nz,2023,2299,1798,10,56721
ni,2023,150,833,11,
ng,2023,175,2387,1,
no,2023,18929,244972,1003,
pk,2023,1,65,0,
pa,2023,411,2512,20,
pe,2023,3909,193694,39,
ph,2023,129154,444869,1042,
pl,2023,36,478,33,
pt,2023,584,949,73,
pr,2023,15746,83809,1218,330520
sa,2023,16,332,0,
sl,2023,200,12200,10,60000
sg,2023,1326,2664,73,
si,2023,136,137,9,
sb,2023,183,613,0,
za,2023,5730,60208,26,
kr,2023,2153,17710,306,
es,2023,1941,4802,37,
lk,2023,2615,11420,59,
se,2023,2167,6959,37,
ch,2023,121,116,1,
tw,2023,10870,24644,59,
tz,2023,5237,70397,12,
th,2023,2592,22248,89,
tt,2023,4492,22418,67,
tr,2023,230,2377,13,1661
ug,2023,731,8042,19,
ae,2023,866,4603,134,
gb,2023,6523,10429,99,
us,2023,134674,1084406,15341,
uy,2023,13,20,0,
vu,2023,26,25,1,2225
ve,2023,6703,20438,127,
vn,2023,1194,2501,14,
ao,2022,52,2,0,
au,2022,1716,4907,200,
bd,2022,605,1956,5,
bz,2022,879,5083,70,
br,2022,996,4252,29,
bn,2022,91,229,5,4226
cm,2022,538,229725,14,
ca,2022,13308,9217,1257,
cl,2022,9727,88876,135,
cn,2022,5005,8860,81,
co,2022,168,1179,5,
cr,2022,54,441,2,
hr,2022,52,1667,0,
cy,2022,147,8206,2,
do,2022,22127,171897,51,
ec,2022,9126,54932,366,
eg,2022,25,325,0,
fi,2022,330,299,5,
fr,2022,148,927,3,
gm,2022,361,36967,8,
de,2022,540,173,6,
gh,2022,39,26895,2,
gr,2022,6128,9423,69,185572
is,2022,69,15705,76,
in,2022,1556,10001,16,
id,2022,687,4001,23,13327
ie,2022,10334,62004,1090,407129
il,2022,105,118,2,
it,2022,440,3995,9,
jm,2022,6250,34894,229,
jp,2022,3827,6309,117,
ke,2022,4231,23875,123,
kw,2022,40,1500,1,20
my,2022,16547,41649,756,
mr,2022,100,141,0,
mx,2022,5367,23280,243,
ma,2022,1881,22006,52,
nl,2022,106,186,3,
nz,2022,13,163,0,
ni,2022,141,536,1,
ng,2022,205,3014,42,
no,2022,18429,251029,1213,
om,2022,8,266,0,
pa,2022,1411,3831,58,
pe,2022,2073,33191,223,
ph,2022,53943,249382,2365,
pl,2022,4,5,1,59
pt,2022,3408,13878,748,67975
pr,2022,4036,58187,651,
